% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:40"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
2.704438124308652E-8,3.689853368537147E-7,-1.5640000000000002E-6,-5.956407013737883E7
3.330943367952973E-8,3.798781141325676E-7,-1.5640000000000002E-6,-5.955902980380638E7
3.957448611597286E-8,3.907708914114205E-7,-1.5640000000000002E-6,-5.955399901396935E7
4.5839538552415907E-8,4.0166366869027354E-7,-1.5640000000000002E-6,-5.95489777678677E7
4.9666495377488516E-8,4.0831743396585494E-7,-1.5640000000000002E-6,-5.9599997843364194E7
5.188032476079075E-8,3.034783890386389E-7,-1.5640000000000002E-6,-5.958793108941181E7
5.470256461908992E-8,3.0943578096913644E-7,-1.5640000000000002E-6,-5.955962174931596E7
5.4929250808069295E-8,3.03080656249876E-7,-1.5640000000000002E-6,-5.9536168596221276E7
5.4504337938486063E-8,3.1499304620701605E-7,-1.5640000000000002E-6,-5.953078587231415E7
5.7170483999169296E-8,3.146452471159521E-7,-1.5640000000000002E-6,-5.956037416942149E7
5.999272385746846E-8,3.206026390464497E-7,-1.5640000000000002E-6,-5.956111806738081E7
6.021941004644783E-8,3.1424751432718927E-7,-1.5640000000000002E-6,-5.953770648304372E7
5.979449717686461E-8,3.2615990428432935E-7,-1.5640000000000002E-6,-5.9532245840406045E7
6.246064323754783E-8,3.258121051932654E-7,-1.5640000000000002E-6,-5.9561744145120785E7
6.528288309584701E-8,3.317694971237628E-7,-1.5640000000000002E-6,-5.956234356167497E7
6.550956928482638E-8,3.254143724045025E-7,-1.5640000000000002E-6,-5.9538973546095476E7
6.508465641524315E-8,3.3732676236164254E-7,-1.5640000000000002E-6,-5.953343498472728E7
6.775080247592646E-8,3.369789632705787E-7,-1.5640000000000002E-6,-5.956284329704942E7
7.057304233422554E-8,3.429363552010763E-7,-1.5640000000000002E-6,-5.956329823219845E7
7.079972852320491E-8,3.365812304818159E-7,-1.5640000000000002E-6,-5.953996978537655E7
7.037481565362167E-8,3.4849362043895595E-7,-1.5640000000000002E-6,-5.9534353305277795E7
7.304096171430491E-8,3.4814582134789193E-7,-1.5640000000000002E-6,-5.956367162520735E7
7.586320157260408E-8,3.541032132783895E-7,-1.5640000000000002E-6,-5.949235709188565E7
7.608988776158345E-8,3.4774808855912907E-7,-1.5640000000000002E-6,-5.954069520088695E7
5.915629990844731E-8,2.906722771402014E-7,-1.5640000000000002E-6,-5.962335708561211E7
6.092700992082364E-8,2.944100223598226E-7,-1.5640000000000002E-6,-5.958209704284422E7
6.106923578561428E-8,2.904227344129092E-7,-1.5640000000000002E-6,-5.956741472174276E7
5.747262751445357E-8,3.0274887243661903E-7,-1.5640000000000002E-6,-5.956433531391437E7
6.040850888445467E-8,3.089461472469476E-7,-1.5640000000000002E-6,-5.95652304064316E7
6.064432291603106E-8,3.0233512437004925E-7,-1.5640000000000002E-6,-5.95409102083779E7
6.444645914682586E-8,3.018391352175147E-7,-1.5640000000000002E-6,-5.95830749699807E7
6.621716915920219E-8,3.055768804371359E-7,-1.5640000000000002E-6,-5.95834938625776E7
6.635939502399283E-8,3.0158959249022253E-7,-1.5640000000000004E-6,-5.956883762225559E7
6.27627867528321E-8,3.139157305139323E-7,-1.5640000000000002E-6,-5.9565787352268696E7
